sy_snum,sy_pnum,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_vmag,sy_kmag,sy_gaiamag
1.0,1.0,5.429973009590574,0.8671004876833833,2.4224333881709645,4.600427055106341,0.3022,667.24,5166.0,1.1400000000000001,0.18,-0.04778,4.508000000000001,264.70925,-28.3556694,16.911520000000014,13.945600000000002,9.201001999999999
1.0,1.0,4.765541865470166,1.3937663759585917,2.2857943325964074,6.77078942390898,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.88,0.0516,4.436,270.985417,-29.5447222,14.07874000000001,11.481399999999999,10.366859999999999
1.0,1.0,6.39330593168374,0.7466879474879752,2.2857943325964074,2.509599262378372,0.22399999999999998,667.24,5166.0,1.1400000000000001,0.23,-0.09178,4.5120000000000005,268.4235,-29.8075667,16.911520000000017,14.218,10.366859999999999
1.0,1.0,3.6086323697349885,1.0296194171811583,2.2857943325964074,6.7580945044277305,0.22400000000000003,870.24,5308.4,1.1400000000000001,0.33,0.0516,4.436,268.409485,-28.8952713,16.911520000000017,12.535799999999998,10.863846
1.0,1.0,6.687787639525121,0.48858001481867097,2.2857943325964074,1.601405740736836,0.13999999999999999,668.04,5351.0,1.1400000000000001,0.12,-0.12378,4.496,268.751125,-32.0165306,17.13790000000002,14.218,11.087644000000001
1.0,1.0,5.85729523517483,0.7929925155296614,2.2857943325964074,8.160803920954665,0.32816,1022.04,5292.4,1.152,0.16,0.0516,4.497999999999999,272.547258,-26.5229319,14.07874000000001,11.481399999999999,8.198146
1.0,2.0,6.586573789145388,0.8153648132841945,2.4224333881709645,4.261584206591077,0.196,950.4399999999999,5351.0,1.1400000000000001,0.14,-0.12378,4.496,266.489125,-33.8428111,15.810940000000013,13.945600000000002,10.963476
1.0,1.0,6.646781419210656,1.235471471385307,2.3621582996705173,3.4299749726887967,0.126,668.04,5351.0,1.0,0.39,-0.12378,4.496,268.480625,-35.1366389,15.810940000000011,13.084799999999998,10.963476
1.0,1.0,5.103552397081774,1.0116009116784799,2.2857943325964074,5.648506804987678,0.22399999999999998,667.24,5166.0,1.1400000000000001,0.72,0.0516,4.436,268.3512083,-29.0218056,16.911520000000017,12.5358,10.863846
1.0,1.0,6.39330593168374,0.6780335427498971,2.2857943325964074,2.703372611551099,0.22399999999999998,870.24,5166.0,1.1400000000000001,0.23,0.0516,4.5120000000000005,269.0555417,-29.1990833,16.911520000000017,14.218,10.366859999999999
1.0,1.0,6.3155402437316095,1.169381359556317,2.2857943325964074,3.66842161221154,0.13999999999999999,867.8399999999999,5166.0,1.1400000000000001,0.22,0.0196,4.436,269.2856667,-31.1844694,16.911520000000017,13.945599999999999,10.366859999999999
1.0,1.0,6.1793891603152975,0.2151113796169455,2.2857943325964074,3.5467396869528134,0.22400000000000003,867.8399999999999,5158.4,1.1400000000000001,0.11,0.0516,4.498,271.9487,-28.1702785,14.07874000000001,12.8082,10.366859999999999
1.0,1.0,4.7655418654701664,0.9932517730102833,2.2857943325964074,7.313886831633462,0.22399999999999998,832.8399999999999,5308.4,1.1400000000000001,0.37,0.0516,4.436,269.786708,-30.7594722,15.582320000000015,11.481399999999999,10.366859999999999
2.0,1.0,5.2319728446932725,0.8020015854720274,2.4224333881709645,5.094317463195909,0.3871312,667.24,5298.8,1.3299999999999998,0.27,0.068,4.354,264.0267083,-26.1459889,16.911520000000014,13.945600000000002,9.200076000000001
1.0,1.0,5.2319728446932725,2.0781907597781832,2.4224333881709645,6.968424022178151,0.22399999999999998,667.24,5166.0,1.1400000000000001,0.66,0.0416,4.377999999999999,265.7404167,-27.7728806,16.911520000000014,13.945600000000002,9.579884000000002
1.0,1.0,6.393305931683741,1.3912819026309298,2.2857943325964074,1.7351891177396608,0.22399999999999998,867.8399999999999,5166.0,1.1400000000000001,0.74,0.0516,4.436,270.5375417,-29.4148889,17.13790000000002,14.218,10.366859999999999
1.0,1.0,6.52523446553243,1.0473189942805592,2.2857943325964074,5.912640336348797,0.13999999999999999,668.04,5351.0,1.1400000000000001,0.34,0.0196,4.496,269.2919167,-33.7885194,15.810940000000011,13.084799999999998,10.963476
