sy_snum,sy_pnum,discoverymethod,pl_orbper,pl_orbsmax,pl_rade,pl_orbeccen,pl_eqt,st_spectype,st_teff,st_rad,st_mass,st_met,st_logg,ra,dec,sy_dist,sy_vmag,sy_kmag,sy_gaiamag,pl_rade_missing,pl_orbper_missing,pl_orbsmax_missing,pl_orbeccen_missing,st_teff_missing,st_rad_missing,st_mass_missing,st_met_missing,st_logg_missing,sy_dist_missing,ra_missing,dec_missing
1.0,1.0,2,5.7942488574892455,4.552823705615882,2.3653468257868244,0.4,1555.7920000000001,190,7826.0000000000055,1.03,2.4,-0.019799999999999995,4.5023,73.9410446,30.5510888,5.094529038538196,7.076,4.23,7.07854,1,1,0,0,0,1,0,1,1,0,0,0
1.0,1.0,8,1.674202657981,0.052155922217157175,2.7898145029048496,0.05,1531.0,190,6000.0,1.5,1.14,0.021,4.14,201.3748265,52.7681036,6.0363542572440405,11.992,10.479,11.6943,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.355493987197108,0.03998964821615847,2.6937484163913505,0.0,1620.0,43,5910.0,1.32,1.09,0.14,4.24,223.6587187,-38.7445469,6.234185210095556,12.678,11.137,12.5347,0,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,8,1.8161069816277986,0.06325644963501485,2.964396393244138,0.0,1413.4,15,6150.0,2.83,1.54,0.0,3.72,17.47474,25.6816494,5.920006138681238,10.295,8.79,10.1318,0,0,0,0,0,0,0,0,0,0,0,0
3.0,1.0,7,5.206202077640231,0.5306282510621704,2.389054646334941,0.027,1071.8,93,4665.0,11.0,1.4,-0.03,2.52,348.9745031,-9.0878076,3.807337817240938,4.23946,1.597,3.95311,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,7,9.300481773906242,2.4057732507902148,1.6494379439793192,0.8206009999999999,586.4,190,5563.800000000001,0.752,1.12,-0.013999999999999995,4.523999999999999,62.4122255,31.6524346,3.735591269535892,6.89333,5.524,6.7427,1,0,0,0,1,1,0,1,1,0,0,0
1.0,2.0,7,6.398761310045116,0.9555114450274363,2.387861311256585,0.03,1514.4,190,6245.0,2.57,1.5,-0.26,3.8,113.5130656,-22.2958661,3.2947844605680916,4.44,3.355,4.30793,1,0,0,0,0,0,0,0,0,0,0,0
3.0,2.0,7,8.58876938990546,1.9095425048844386,2.2722157948888704,0.17,1026.2,190,5612.0,1.2920000000000003,0.87,0.15078400000000003,4.44,118.4209646,-63.6466892,3.5868605711993755,7.97,6.329,7.7943,1,0,0,0,0,1,0,1,0,0,0,0
1.0,6.0,8,1.9820216379722526,0.06475724721527852,2.4351607929954575,0.11,1062.0,190,5770.0,0.97,1.02,0.07,4.47,192.1848981,64.8552755,4.448939678150557,9.534,8.034,9.36789,1,0,0,0,0,0,0,0,0,0,0,0
1.0,1.0,7,5.883322388488279,0.6626879730752367,2.477810180127105,0.24,1218.8,190,5449.0,0.83,0.65,-0.16,4.41,116.9582617,-54.265345,3.512667197484159,8.1,6.316,7.90983,1,0,0,0,0,0,0,0,0,0,0,0
